State,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)","HMIS Participation Rate for Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Units for Households with Children (ES, TH, SH)","Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)","Total Beds for Households with only Children (ES, TH, SH)","Dedicated Veteran Beds (ES, TH, SH)","Dedicated Youth Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),HMIS Participation Rate for Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Total Units for Households with Children (ES),Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with only Children (ES),Dedicated Veteran Beds (ES),Dedicated Youth Beds (ES),Total Year-Round Beds (TH),Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),HMIS Participation Rate for Year-Round Beds (TH),Total Units for Households with Children (TH),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with only Children (TH),Dedicated Veteran Beds (TH),Dedicated Youth Beds (TH),Total Year-Round Beds (SH),Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),HMIS Participation Rate for Year-Round Beds (SH),Total Units for Households with Children (SH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Beds for Households with only Children (SH),Dedicated Veteran Beds (SH),Dedicated Youth Beds (SH),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),HMIS Participation Rate for Year-Round Beds (RRH),Total Units for Households with Children (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Beds for Households with only Children (RRH),Dedicated Veteran Beds (RRH),Dedicated Youth Beds (RRH),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),HMIS Participation Rate for Year-Round Beds (PSH),Total Units for Households with Children (PSH),Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),Total Beds for Households with only Children (PSH),Dedicated Veteran Beds (PSH),Dedicated Youth Beds (PSH),Dedicated Chronically Homeless Beds (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),HMIS Participation Rate for Year-Round Beds (OPH),Total Units for Households with Children (OPH),Total Beds for Households with Children (OPH),Total Beds for Households without Children (OPH),Total Beds for Households with only Children (OPH),Dedicated Veteran Beds (OPH),Dedicated Youth Beds (OPH)
GA,7363,5997,3511,47.68%,4117,3246,0,1009,3001,4329,33,229,163,4117,3119,1949,47.34%,205,143,524,1828,2256,33,36,88,3246,2878,1562,48.12%,485,1173,2073,0,193,75,0,0,0,0.00%,0,0,0,0,0,0,2319,2110,2052,88.49%,505,1714,605,0,412,25,8327,8292,6775,81.36%,1354,3138,5187,2,2705,73,2837,19,19,0,0.00%,2,2,17,0,19,0
HI,3599,3370,3346,92.97%,1838,1726,35,588,2211,1372,16,142,27,1838,1679,1679,91.35%,0,13,260,885,937,16,54,16,1726,1656,1632,94.55%,328,1326,400,0,53,11,35,35,35,100.00%,0,0,35,0,35,0,1869,1869,1864,99.73%,384,1628,241,0,94,11,2540,2540,1726,67.95%,167,621,1919,0,847,0,1376,0,0,0,0.00%,0,0,0,0,0,0
IA,3026,2528,2177,71.94%,1601,1401,24,464,1524,1483,19,90,118,1601,1230,1029,64.27%,325,123,181,602,982,17,5,30,1401,1274,1124,80.23%,283,922,477,2,61,88,24,24,24,100.00%,0,0,24,0,24,0,794,434,434,54.66%,172,614,180,0,69,0,1054,1020,749,71.06%,116,298,756,0,428,0,804,234,234,234,100.00%,43,165,69,0,12,0
ID,1413,1088,485,34.32%,1033,380,0,182,662,733,18,131,18,1033,815,368,35.62%,69,120,109,429,586,18,34,18,380,273,117,30.79%,73,233,147,0,97,0,0,0,0,0.00%,0,0,0,0,0,0,423,423,417,98.58%,111,375,48,0,45,0,905,895,641,70.83%,132,419,486,0,419,0,610,0,0,0,0.00%,0,0,0,0,0,0
IL,10210,8834,8083,79.17%,6939,3195,76,1303,4780,5338,92,461,863,6939,5924,5427,78.21%,690,246,732,2997,3866,76,112,273,3195,2834,2580,80.75%,571,1783,1396,16,329,590,76,76,76,100.00%,0,0,76,0,20,0,2159,2085,2050,94.95%,499,1463,696,0,464,7,14779,14753,10947,74.07%,1675,5552,9223,4,4270,49,4407,481,405,405,84.20%,108,334,117,30,51,30
IN,5568,4301,3012,54.09%,3823,1645,100,743,2390,3084,94,491,191,3823,2895,1922,50.27%,299,278,493,1659,2073,91,84,98,1645,1306,990,60.18%,250,731,911,3,332,43,100,100,100,100.00%,0,0,100,0,75,50,903,837,832,92.14%,201,648,255,0,203,17,3631,3545,2462,67.81%,452,1204,2427,0,1237,18,1036,96,96,49,51.04%,3,12,84,0,0,0
KS,2599,2005,1014,39.02%,1698,881,20,377,1243,1349,7,167,114,1698,1213,704,41.46%,172,20,225,712,985,1,103,58,881,772,290,32.92%,152,531,344,6,64,56,20,20,20,100.00%,0,0,20,0,0,0,795,751,723,90.94%,162,560,235,0,102,7,1479,1479,1166,78.84%,137,433,1046,0,526,123,313,0,0,0,0.00%,0,0,0,0,0,0
KY,2875,2305,1523,52.97%,2310,565,0,298,988,1844,43,265,110,2310,1783,1056,45.71%,151,313,243,807,1460,43,39,59,565,522,467,82.65%,55,181,384,0,226,51,0,0,0,0.00%,0,0,0,0,0,0,1069,836,836,78.20%,254,793,276,0,152,72,3253,3070,2606,80.11%,415,1246,2007,0,932,2,1228,443,443,249,56.21%,40,110,333,0,4,0
LA,2647,2325,1779,67.21%,1508,1075,64,237,809,1773,65,381,174,1508,1277,1016,67.37%,75,49,156,550,911,47,62,107,1075,984,699,65.02%,81,259,798,18,270,67,64,64,64,100.00%,0,0,64,0,49,0,2176,2103,2064,94.85%,437,1473,703,0,268,64,5606,5534,4107,73.26%,584,1704,3902,0,1263,31,2730,13,13,13,100.00%,6,13,0,0,0,0
MA,17310,16396,15529,89.71%,14796,2403,111,4150,12541,4743,26,939,170,14796,14239,13865,93.71%,436,2206,3764,11621,3157,18,88,36,2403,2046,1563,65.04%,386,920,1475,8,805,134,111,111,101,90.99%,0,0,111,0,46,0,5156,5134,4131,80.12%,1515,4530,626,0,240,75,11998,11948,9674,80.63%,1257,3394,8604,0,3185,83,6690,3948,3940,2028,51.37%,1009,2637,1311,0,142,33
